n_pipe,n_baffle,pitch,No_pass,No_sh,NTU,NTU e,LMTD,LMTD e
14.0,6.0,0.012,2.0,1.0,14596.541756526707,0.18161560113822303,14595.233084652578,0.18159931815605662
14.0,7.0,0.012,2.0,1.0,15189.034295665075,0.18896010283395243,15187.571531189758,0.18894190522373594
14.0,8.0,0.012,2.0,1.0,15643.143858648053,0.19452048648636325,15641.587865330686,0.1945011379091336
14.0,9.0,0.012,2.0,1.0,16007.889005844314,0.19896092614269875,16006.287890281088,0.19894102599001748
14.0,10.0,0.012,2.0,1.0,16300.119027152128,0.20250047433390322,16298.51432342864,0.20248053869633945
14.0,11.0,0.012,2.0,1.0,16538.810236283112,0.20537196741225439,16537.23734027473,0.20535243585326304
14.0,12.0,0.012,2.0,1.0,16726.604898745285,0.20760480840940504,16725.094324726568,0.20758605968952776
14.0,13.0,0.012,2.0,1.0,16869.020338299557,0.2092768968063604,16867.598408570884,0.20925925636043494
14.0,14.0,0.012,2.0,1.0,16978.542313336915,0.21053520622145036,16977.23278180268,0.2105189679315827
14.0,15.0,0.012,2.0,1.0,17065.147565284376,0.21151266488056442,17063.97227704952,0.21149809786052512
14.0,16.0,0.012,2.0,1.0,17116.413297653857,0.21204702817024232,17115.39342293101,0.2120343934318585
14.0,17.0,0.012,2.0,1.0,17156.26639774204,0.21244396168880406,17159.391296715294,0.2124826569330002
14.0,18.0,0.012,2.0,1.0,17170.8216216539,0.212523018862657,17173.186559222595,0.2125522896618415
14.0,19.0,0.012,2.0,1.0,17162.93725956258,0.2123287893488811,17164.47926356617,0.2123478660277911
14.0,20.0,0.012,2.0,1.0,17153.430570827004,0.21211029079897387,17151.00265207943,0.2120802684340914
14.0,21.0,0.012,2.0,1.0,17114.838292646702,0.21153688414004101,17111.592097923956,0.21149676165070047
14.0,22.0,0.012,2.0,1.0,17073.886627779717,0.21093049409079878,17072.6272665909,0.21091493596489652
14.0,23.0,0.012,2.0,1.0,,,,
14.0,24.0,0.012,2.0,1.0,,,,
14.0,25.0,0.012,2.0,1.0,,,,
14.0,26.0,0.012,2.0,1.0,,,,
14.0,27.0,0.012,2.0,1.0,,,,
14.0,28.0,0.012,2.0,1.0,,,,
14.0,29.0,0.012,2.0,1.0,,,,
